face_id,rgb_filename,reflectance_filename,split
207,207_RGB_pixelized.jpg,207_reflectance.mat,valid
208,208_RGB_pixelized.jpg,208_reflectance.mat,test
219,219_RGB_pixelized.jpg,219_reflectance.mat,train
222,222_RGB_pixelized.jpg,222_reflectance.mat,train
226,226_RGB_pixelized.jpg,226_reflectance.mat,test
229,229_RGB_pixelized.jpg,229_reflectance.mat,train
235,235_RGB_pixelized.jpg,235_reflectance.mat,train
243,243_RGB_pixelized.jpg,243_reflectance.mat,train
249,249_RGB_pixelized.jpg,249_reflectance.mat,test
253,253_RGB_pixelized.jpg,253_reflectance.mat,train
255,255_RGB_pixelized.jpg,255_reflectance.mat,train
257,257_RGB_pixelized.jpg,257_reflectance.mat,test
261,261_RGB_pixelized.jpg,261_reflectance.mat,valid
262,262_RGB_pixelized.jpg,262_reflectance.mat,test
266,266_RGB_pixelized.jpg,266_reflectance.mat,train
268,268_RGB_pixelized.jpg,268_reflectance.mat,train
270,270_RGB_pixelized.jpg,270_reflectance.mat,train
272,272_RGB_pixelized.jpg,272_reflectance.mat,valid
273,273_RGB_pixelized.jpg,273_reflectance.mat,train
274,274_RGB_pixelized.jpg,274_reflectance.mat,valid
275,275_RGB_pixelized.jpg,275_reflectance.mat,train
276,276_RGB_pixelized.jpg,276_reflectance.mat,train
277,277_RGB_pixelized.jpg,277_reflectance.mat,train
280,280_RGB_pixelized.jpg,280_reflectance.mat,train
281,281_RGB_pixelized.jpg,281_reflectance.mat,train
282,282_RGB_pixelized.jpg,282_reflectance.mat,train
283,283_RGB_pixelized.jpg,283_reflectance.mat,train
287,287_RGB_pixelized.jpg,287_reflectance.mat,train
291,291_RGB_pixelized.jpg,291_reflectance.mat,train
